日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-12-25,'600763,通策医疗,269.08,269.57,263.0,264.02,264.49,4.59,1.7354,0.5933,1902247,507738731.0,86277811200.0,86277811200.0
2020-12-24,'600763,通策医疗,264.49,266.8,258.21,258.98,260.31,4.18,1.6058,0.5207,1669559,438018281.0,84806073600.0,84806073600.0
2020-12-23,'600763,通策医疗,260.31,263.69,255.0,260.85,262.22,-1.91,-0.7284,0.7094,2274709,589906133.0,83465798400.0,83465798400.0
2020-12-22,'600763,通策医疗,262.22,266.86,260.82,263.0,264.18,-1.96,-0.7419,0.7649,2452717,647177118.0,84078220800.0,84078220800.0
2020-12-21,'600763,通策医疗,264.18,264.7,251.5,257.27,256.49,7.69,2.9982,0.7422,2379658,618521244.0,84706675200.0,84706675200.0
2020-12-18,'600763,通策医疗,256.49,262.03,254.57,262.03,263.0,-6.51,-2.4753,0.8377,2685850,690770095.0,82240953600.0,82240953600.0
2020-12-17,'600763,通策医疗,263.0,267.0,254.5,258.15,257.21,5.79,2.2511,0.977,3132612,816663716.0,84328320000.0,84328320000.0
2020-12-16,'600763,通策医疗,257.21,259.87,250.5,251.58,251.3,5.91,2.3518,0.6106,1957961,502387514.0,82471814400.0,82471814400.0
2020-12-15,'600763,通策医疗,251.3,259.89,245.88,253.0,254.01,-2.71,-1.0669,0.9295,2980231,751226632.0,80576832000.0,80576832000.0
2020-12-14,'600763,通策医疗,254.01,255.2,242.9,243.1,243.05,10.96,4.5094,0.79,2532993,633176444.0,81445766400.0,81445766400.0
2020-12-11,'600763,通策医疗,243.05,249.49,243.0,243.29,243.19,-0.14,-0.0576,1.4821,4752085,1172846895.0,77931552000.0,77931552000.0
2020-12-10,'600763,通策医疗,243.19,243.66,232.16,233.02,233.13,10.06,4.3152,1.04,3334567,802309629.0,77976441600.0,77976441600.0
2020-12-09,'600763,通策医疗,233.13,237.5,230.36,233.9,233.45,-0.32,-0.1371,0.5741,1840739,431728710.0,74750803200.0,74750803200.0
2020-12-08,'600763,通策医疗,233.45,234.58,230.21,230.63,232.4,1.05,0.4518,0.3408,1092818,254312568.0,74853408000.0,74853408000.0
2020-12-07,'600763,通策医疗,232.4,236.45,231.11,232.9,233.6,-1.2,-0.5137,0.5314,1703968,398362063.0,74516736000.0,74516736000.0
2020-12-04,'600763,通策医疗,233.6,235.0,223.15,224.92,225.0,8.6,3.8222,0.721,2311735,533385573.0,74901504000.0,74901504000.0
2020-12-03,'600763,通策医疗,225.0,229.0,222.13,224.84,224.84,0.16,0.0712,0.6783,2174867,491705577.0,72144000000.0,72144000000.0
2020-12-02,'600763,通策医疗,224.84,225.79,220.44,221.61,221.71,3.13,1.4118,0.5066,1624223,362764405.0,72092697600.0,72092697600.0
