日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'000786,北新建材,50.39,51.75,49.2,51.75,51.25,-0.86,-1.678,0.8043,13589015,681625117.17,85134300158.4,85134300158.4
2021-01-21,'000786,北新建材,51.25,52.3,49.93,50.99,51.39,-0.14,-0.2724,0.9639,16285924,831153399.35,86587276902.5,86587276902.5
2021-01-20,'000786,北新建材,51.39,51.66,48.25,48.98,49.36,2.03,4.1126,0.8957,15132938,764130590.29,86823808000.4,86823808000.4
2021-01-19,'000786,北新建材,49.36,52.15,48.57,50.6,50.22,-0.86,-1.7125,0.9451,15967724,803756531.57,83394107081.1,83394107081.1
2021-01-18,'000786,北新建材,50.22,50.8,47.1,48.51,48.88,1.34,2.7414,0.875,14783441,733558838.46,84847083825.2,84847083825.2
2021-01-15,'000786,北新建材,48.88,49.33,47.05,48.66,48.65,0.23,0.4728,0.753,12722296,616939701.05,82583143317.0,82583143317.0
2021-01-14,'000786,北新建材,48.65,49.58,47.67,48.61,48.6,0.05,0.1029,0.9001,15207293,741584333.45,82194556513.3,82194556513.3
2021-01-13,'000786,北新建材,48.6,52.38,47.64,52.0,50.0,-1.4,-2.8,1.3428,22687239,1116854175.67,82110081121.2,82110081121.2
2021-01-12,'000786,北新建材,50.0,50.36,47.2,47.21,47.16,2.84,6.0221,1.0363,17509086,860065271.69,84475392100.0,84475392100.0
2021-01-11,'000786,北新建材,47.16,48.84,44.85,45.0,44.98,2.18,4.8466,1.3924,23523949,1116376814.61,79677189828.7,79677189828.7
2021-01-08,'000786,北新建材,44.98,45.49,43.5,44.05,44.64,0.34,0.7616,0.9898,16723051,749319118.21,75994062733.2,75994062733.2
2021-01-07,'000786,北新建材,44.64,44.84,42.16,42.22,42.4,2.24,5.283,0.9091,15359824,673711202.55,75419630066.9,75419630066.9
2021-01-06,'000786,北新建材,42.4,42.6,41.0,42.11,41.77,0.63,1.5083,0.8352,14110587,593259602.66,71635132500.8,71635132500.8
2021-01-05,'000786,北新建材,41.77,42.75,40.2,41.11,41.67,0.1,0.24,1.0564,17847314,740974379.52,70570742560.3,70570742560.3
2021-01-04,'000786,北新建材,41.67,41.9,39.03,39.5,40.05,1.62,4.0449,1.3875,23442478,948606320.74,70401791776.1,70401791776.1
2020-12-31,'000786,北新建材,40.05,40.68,37.85,37.9,37.01,3.04,8.214,1.2931,21847164,861135458.29,67664789072.1,67664789072.1
2020-12-30,'000786,北新建材,37.01,37.97,36.61,36.98,36.76,0.25,0.6801,0.9445,15956967,595300765.31,62528685232.4,62528685232.4
2020-12-29,'000786,北新建材,36.76,37.58,36.2,36.35,36.45,0.31,0.8505,1.2705,21464773,793779210.95,62106308271.9,62106308271.9
2020-12-28,'000786,北新建材,36.45,37.36,35.95,36.99,36.8,-0.35,-0.9511,0.9292,15698129,573279339.15,61582560840.9,61582560840.9
2020-12-25,'000786,北新建材,36.8,36.8,35.29,35.95,35.95,0.85,2.3644,1.0595,17899651,650277609.75,62173888585.6,62173888585.6
2020-12-24,'000786,北新建材,35.95,36.09,34.98,35.0,34.89,1.06,3.0381,0.8058,13613835,486142438.56,60737806919.9,60737806919.9
2020-12-23,'000786,北新建材,34.89,35.36,34.47,34.89,35.1,-0.21,-0.5983,0.7397,12497527,435580534.18,58946928607.4,58946928607.4
2020-12-22,'000786,北新建材,35.1,36.09,35.1,35.49,35.31,-0.21,-0.5947,0.7714,13032024,462693974.8,59301725254.2,59301725254.2
2020-12-21,'000786,北新建材,35.31,36.26,35.21,35.3,35.74,-0.43,-1.2031,1.0383,17542635,624819331.38,59656521901.0,59656521901.0
2020-12-18,'000786,北新建材,35.74,37.11,35.37,36.88,36.68,-0.94,-2.5627,0.9962,16830680,605991955.84,60383010273.1,60383010273.1
2020-12-17,'000786,北新建材,36.68,36.96,35.98,36.76,36.5,0.18,0.4932,0.6531,11034244,402808532.15,61971147644.6,61971147644.6
2020-12-16,'000786,北新建材,36.5,37.17,36.15,36.9,36.63,-0.13,-0.3549,0.6774,11444384,418179347.44,61667036233.0,61667036233.0
2020-12-15,'000786,北新建材,36.63,37.37,36.06,37.22,37.15,-0.52,-1.3997,0.8408,14204849,518410600.51,61886672252.5,61886672252.5
2020-12-14,'000786,北新建材,37.15,37.97,36.76,37.53,37.59,-0.44,-1.1705,0.5771,9750176,361718587.08,62765216330.3,62765216330.3
2020-12-11,'000786,北新建材,37.59,38.22,37.31,37.8,37.55,0.04,0.1065,0.4584,7744810,292115841.81,63508599780.8,63508599780.8
2020-12-10,'000786,北新建材,37.55,37.76,37.02,37.4,37.4,0.15,0.4011,0.4331,7318084,274347329.41,63441019467.1,63441019467.1
2020-12-09,'000786,北新建材,37.4,38.74,37.34,38.65,38.49,-1.09,-2.8319,0.5555,9385812,353881214.97,63187593290.8,63187593290.8
2020-12-08,'000786,北新建材,38.49,39.95,37.8,39.62,39.62,-1.13,-2.8521,0.6658,11248332,434142272.39,65029156838.6,65029156838.6
2020-12-07,'000786,北新建材,39.62,40.16,38.73,39.13,39.0,0.62,1.5897,0.481,8125953,320263205.89,66938300700.0,66938300700.0
2020-12-04,'000786,北新建材,39.0,39.35,38.75,39.05,39.05,-0.05,-0.128,0.3944,6663848,260100249.35,65890805838.0,65890805838.0
2020-12-03,'000786,北新建材,39.05,39.76,38.41,39.72,39.75,-0.7,-1.761,0.7587,12818019,499156876.18,65975281230.1,65975281230.1
2020-12-02,'000786,北新建材,39.75,40.79,39.55,40.79,40.38,-0.63,-1.5602,0.4119,6959289,277355209.03,67157936719.5,67157936719.5
2020-12-01,'000786,北新建材,40.38,40.81,38.69,39.23,39.0,1.38,3.5385,0.6191,10460472,415730231.89,68222326660.0,68222326660.0
2020-11-30,'000786,北新建材,39.0,40.63,39.0,40.46,40.45,-1.45,-3.5847,0.7332,12387662,490429137.21,65890805838.0,65890805838.0
2020-11-27,'000786,北新建材,40.45,41.03,39.6,40.99,40.37,0.08,0.1982,0.6428,10859681,437545354.21,68340592208.9,68340592208.9
2020-11-26,'000786,北新建材,40.37,41.58,39.16,41.13,41.58,-1.21,-2.9101,0.9567,16163737,651170694.02,68205431581.5,68205431581.5
2020-11-25,'000786,北新建材,41.58,42.73,41.42,41.6,41.06,0.52,1.2664,0.9938,16789796,703547092.84,70249736070.4,70249736070.4
2020-11-24,'000786,北新建材,41.06,41.39,40.5,41.08,41.5,-0.44,-1.0602,0.5041,8515997,348674589.67,69371191992.5,69371191992.5
2020-11-23,'000786,北新建材,41.5,41.97,39.95,40.3,40.55,0.95,2.3428,0.7853,13268055,548725778.23,70114575443.0,70114575443.0
2020-11-20,'000786,北新建材,40.55,40.8,39.8,40.15,39.6,0.95,2.399,0.5925,10009892,404063735.49,68509542993.1,68509542993.1
2020-11-19,'000786,北新建材,39.6,41.05,39.45,39.65,39.74,-0.14,-0.3523,0.8655,14622714,586938152.92,66904510543.2,66904510543.2
2020-11-18,'000786,北新建材,39.74,40.5,38.92,40.4,39.7,0.04,0.1008,0.9569,16166392,640425558.17,67141041641.1,67141041641.1
2020-11-17,'000786,北新建材,39.7,41.58,39.5,40.4,40.11,-0.41,-1.0222,0.9065,15315046,620166776.83,67073461327.4,67073461327.4
2020-11-16,'000786,北新建材,40.11,40.34,39.29,39.87,39.81,0.3,0.7536,0.6073,10260833,409849907.99,67766159542.6,67766159542.6
2020-11-13,'000786,北新建材,39.81,40.1,38.01,39.21,39.93,-0.12,-0.3005,0.7818,13208588,519454220.76,67259307190.0,67259307190.0
2020-11-12,'000786,北新建材,39.93,40.56,38.84,40.1,40.0,-0.07,-0.175,0.7528,12718317,503474938.29,67462048131.1,67462048131.1
2020-11-11,'000786,北新建材,40.0,41.25,38.62,38.65,38.98,1.02,2.6167,1.0035,16954344,677194127.74,67580313680.0,67580313680.0
2020-11-10,'000786,北新建材,38.98,39.16,36.2,37.15,37.15,1.83,4.926,1.1093,18741717,711515528.78,65857015681.2,65857015681.2
2020-11-09,'000786,北新建材,37.15,38.59,36.63,37.49,37.3,-0.15,-0.4021,1.0046,16973148,637442363.05,62765216330.3,62765216330.3
2020-11-06,'000786,北新建材,37.3,37.56,36.5,37.19,37.46,-0.16,-0.4271,0.7499,12670123,468002870.59,63018642506.6,63018642506.6
2020-11-05,'000786,北新建材,37.46,37.53,35.85,36.08,36.1,1.36,3.7673,0.9861,16660010,615438370.28,63288963761.3,63288963761.3
2020-11-04,'000786,北新建材,36.1,36.1,34.7,35.0,35.37,0.73,2.0639,0.6952,11745826,415870914.68,60991233096.2,60991233096.2
2020-11-03,'000786,北新建材,35.37,36.53,34.8,36.53,36.26,-0.89,-2.4545,0.8781,14835192,527216375.83,59757892371.5,59757892371.5
2020-11-02,'000786,北新建材,36.26,36.67,34.79,34.79,34.55,1.71,4.9493,0.8327,14069311,506771031.36,61261554350.9,61261554350.9
2020-10-30,'000786,北新建材,34.55,35.99,34.5,35.99,35.63,-1.08,-3.0312,0.5541,9360784,328593602.5,58372495941.1,58372495941.1
