ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2021-01-22,'002623,ัวย๊ถู,44.69,45.7,41.73,41.83,41.69,3.0,7.196,5.7459,9193453,398870066.77,7150400000.0,7150400000.0
2021-01-21,'002623,ัวย๊ถู,41.69,42.5,40.8,41.49,41.07,0.62,1.5096,4.1042,6566681,272566366.27,6670400000.0,6670400000.0
2021-01-20,'002623,ัวย๊ถู,41.07,41.7,39.03,39.5,40.12,0.95,2.3679,3.0619,4899033,199698286.97,6571200000.0,6571200000.0
2021-01-19,'002623,ัวย๊ถู,40.12,42.18,40.02,41.88,41.64,-1.52,-3.6503,2.7101,4336208,177330293.9,6419200000.0,6419200000.0
2021-01-18,'002623,ัวย๊ถู,41.64,41.64,40.4,41.49,41.2,0.44,1.068,2.7288,4366056,179262793.88,6662400000.0,6662400000.0
2021-01-15,'002623,ัวย๊ถู,41.2,41.65,39.82,40.2,40.6,0.6,1.4778,2.6061,4169783,171020089.12,6592000000.0,6592000000.0
2021-01-14,'002623,ัวย๊ถู,40.6,40.8,38.7,39.1,39.7,0.9,2.267,2.5496,4079409,163259682.98,6496000000.0,6496000000.0
2021-01-13,'002623,ัวย๊ถู,39.7,41.39,39.53,41.3,41.6,-1.9,-4.5673,3.1172,4987544,200651646.78,6352000000.0,6352000000.0
2021-01-12,'002623,ัวย๊ถู,41.6,41.6,39.69,40.01,40.75,0.85,2.0859,3.8125,6099968,246871938.92,6656000000.0,6656000000.0
2021-01-11,'002623,ัวย๊ถู,40.75,42.0,39.0,42.0,43.16,-2.41,-5.5839,3.9198,6271613,257665633.17,6520000000.0,6520000000.0
2021-01-08,'002623,ัวย๊ถู,43.16,46.45,42.8,46.32,45.77,-2.61,-5.7024,4.6877,7500288,329610645.33,6905600000.0,6905600000.0
2021-01-07,'002623,ัวย๊ถู,45.77,47.12,44.76,45.6,45.2,0.57,1.2611,4.45,7119980,327156567.15,7323200000.0,7323200000.0
2021-01-06,'002623,ัวย๊ถู,45.2,47.55,44.0,47.21,47.09,-1.89,-4.0136,5.6684,9069424,410748830.06,7232000000.0,7232000000.0
2021-01-05,'002623,ัวย๊ถู,47.09,48.0,46.04,47.04,48.38,-1.29,-2.6664,7.3883,11821248,555600707.19,7534400000.0,7534400000.0
2021-01-04,'002623,ัวย๊ถู,48.38,48.39,45.1,47.99,43.99,4.39,9.9795,11.677,18683151,890049990.34,7740800000.0,7740800000.0
2020-12-31,'002623,ัวย๊ถู,43.99,45.43,42.21,42.21,41.3,2.69,6.5133,6.2906,10064934,446662226.79,7038400000.0,7038400000.0
2020-12-30,'002623,ัวย๊ถู,41.3,42.35,39.9,40.03,40.15,1.15,2.8643,2.1912,3505856,144652770.53,6608000000.0,6608000000.0
