日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'002706,良信股份,32.2,32.2,29.51,29.51,30.08,2.12,7.0479,1.2406,9735829,301890584.32,25268528019.0,25268528019.0
2021-01-21,'002706,良信股份,30.08,31.8,29.76,31.0,30.66,-0.58,-1.8917,1.0116,7938192,244247460.57,23604885801.6,23604885801.6
2021-01-20,'002706,良信股份,30.66,31.02,29.77,29.78,30.23,0.43,1.4224,0.9388,7366859,223963503.69,24060033200.7,24060033200.7
2021-01-19,'002706,良信股份,30.23,30.42,29.18,30.0,30.15,0.08,0.2653,0.7444,5841480,173301209.25,23722596335.8,23722596335.8
2021-01-18,'002706,良信股份,30.15,30.45,28.0,28.39,28.75,1.4,4.8696,0.7963,6248529,185165820.46,23659817384.2,23659817384.2
2021-01-15,'002706,良信股份,28.75,29.6,27.9,29.31,29.64,-0.89,-3.0027,0.9196,7216550,205953860.92,22561185731.2,22561185731.2
2021-01-14,'002706,良信股份,29.64,30.47,28.66,29.98,29.89,-0.25,-0.8364,0.8877,6965869,206552223.1,23259601567.8,23259601567.8
2021-01-13,'002706,良信股份,29.89,30.96,29.36,30.9,29.93,-0.04,-0.1336,0.8842,6938931,206757258.23,23455785791.5,23455785791.5
2021-01-12,'002706,良信股份,29.93,29.93,28.13,28.13,27.21,2.72,9.9963,0.7738,6072005,178019898.49,23487175267.3,23487175267.3
2021-01-11,'002706,良信股份,27.21,28.82,27.0,28.25,28.15,-0.94,-3.3393,0.9346,7334417,202626038.11,21352690913.0,21352690913.0
2021-01-08,'002706,良信股份,28.15,29.31,27.47,29.19,29.35,-1.2,-4.0886,1.132,8883111,250249661.46,22090343594.2,22090343594.2
2021-01-07,'002706,良信股份,29.35,30.17,29.05,29.57,29.43,-0.08,-0.2718,0.5854,4593790,135582548.47,23032027868.2,23032027868.2
2021-01-06,'002706,良信股份,29.43,29.87,29.2,29.65,29.49,-0.06,-0.2035,0.5505,4320042,127444926.59,23094806819.8,23094806819.8
2021-01-05,'002706,良信股份,29.49,30.18,29.3,29.95,29.79,-0.3,-1.007,0.864,6780103,200950665.85,23141891033.5,23141891033.5
2021-01-04,'002706,良信股份,29.79,31.33,29.3,30.66,30.64,-0.85,-2.7742,1.0987,8621965,258849263.21,23377312102.0,23377312102.0
2020-12-31,'002706,良信股份,30.64,30.85,30.02,30.18,29.91,0.73,2.4407,0.5596,4391388,133490516.1,24044338462.8,24044338462.8
2020-12-30,'002706,良信股份,29.91,30.42,29.6,29.69,29.69,0.22,0.741,0.8309,6520768,195930504.03,23471480529.5,23471480529.5
2020-12-29,'002706,良信股份,29.69,30.32,29.43,29.43,29.35,0.34,1.1584,0.9458,7422001,221640708.85,23298838412.5,23298838412.5
2020-12-28,'002706,良信股份,29.35,29.71,27.79,27.85,27.55,1.8,6.5336,1.1438,8975944,260810753.87,23032027868.2,23032027868.2
2020-12-25,'002706,良信股份,27.55,27.98,26.51,26.67,26.67,0.88,3.2996,0.6279,4927678,136258141.05,21619501457.2,21619501457.2
2020-12-24,'002706,良信股份,26.67,27.7,26.53,27.28,27.26,-0.59,-2.1643,0.4318,3388765,91397881.78,20928932989.7,20928932989.7
2020-12-23,'002706,良信股份,27.26,27.7,26.9,27.01,27.19,0.07,0.2574,0.7839,6151295,167696779.36,21391927757.7,21391927757.7
2020-12-22,'002706,良信股份,27.19,27.45,25.59,26.0,25.88,1.31,5.0618,1.3471,10571039,285795832.73,21336996175.0,21336996175.0
2020-12-21,'002706,良信股份,25.88,26.0,24.4,24.46,24.46,1.42,5.8054,0.9749,7650122,194330678.01,20308990842.6,20308990842.6
2020-12-18,'002706,良信股份,24.46,25.18,23.86,25.12,25.11,-0.65,-2.5886,0.9445,7411866,181038172.42,19194664451.7,19194664451.7
2020-12-17,'002706,良信股份,25.11,25.4,24.62,25.05,24.82,0.29,1.1684,0.4812,3775797,94372582.24,19704743433.5,19704743433.5
2020-12-16,'002706,良信股份,24.82,26.09,24.72,25.41,25.6,-0.78,-3.0469,0.4955,3888564,97917510.34,19477169733.9,19477169733.9
2020-12-15,'002706,良信股份,25.6,26.2,25.0,25.12,25.2,0.4,1.5873,0.5906,4634753,119242563.92,20089264512.0,20089264512.0
2020-12-14,'002706,良信股份,25.2,25.5,24.75,24.95,24.81,0.39,1.5719,0.3737,2932482,73812188.42,19775369754.0,19775369754.0
2020-12-11,'002706,良信股份,24.81,25.41,24.57,25.3,25.06,-0.25,-0.9976,0.5501,4316956,107625420.15,19469322365.0,19469322365.0
2020-12-10,'002706,良信股份,25.06,25.5,24.71,25.0,25.04,0.02,0.0799,0.5676,4453943,112147448.46,19665506588.7,19665506588.7
2020-12-09,'002706,良信股份,25.04,26.04,25.01,25.9,25.8,-0.76,-2.9457,0.416,3264343,83368424.2,19649811850.8,19649811850.8
2020-12-08,'002706,良信股份,25.8,26.4,25.48,25.65,25.61,0.19,0.7419,0.6448,5059956,130703008.28,20246211891.0,20246211891.0
2020-12-07,'002706,良信股份,25.61,26.16,25.5,25.7,25.78,-0.17,-0.6594,0.5587,4384469,112960942.44,20097111881.0,20097111881.0
2020-12-04,'002706,良信股份,25.78,26.43,25.29,25.29,25.37,0.41,1.6161,0.4106,3222407,83434955.71,20230517153.1,20230517153.1
2020-12-03,'002706,良信股份,25.37,25.6,24.82,25.53,25.55,-0.18,-0.7045,0.3991,3131531,79018147.9,19908775026.2,19908775026.2
2020-12-02,'002706,良信股份,25.55,25.78,24.51,25.0,25.11,0.44,1.7523,0.8053,6319408,158796795.32,20050027667.2,20050027667.2
2020-12-01,'002706,良信股份,25.11,25.33,23.74,23.75,23.73,1.38,5.8154,0.7798,6119765,151333139.28,19704743433.5,19704743433.5
2020-11-30,'002706,良信股份,23.73,25.0,23.6,25.0,25.09,-1.36,-5.4205,0.8082,6342352,152559194.98,18621806518.3,18621806518.3
2020-11-27,'002706,良信股份,25.09,25.58,24.74,25.42,25.49,-0.4,-1.5692,0.3413,2678009,66999096.61,19689048695.5,19689048695.5
2020-11-26,'002706,良信股份,25.49,25.5,24.73,24.85,24.63,0.86,3.4917,0.6297,4941500,125003315.56,20002943453.5,20002943453.5
2020-11-25,'002706,良信股份,24.63,26.47,24.45,26.31,26.09,-1.46,-5.596,1.1892,9331943,232777835.53,19328069723.8,19328069723.8
2020-11-24,'002706,良信股份,26.09,27.25,25.84,27.06,27.23,-1.14,-4.1866,0.6548,5138834,135531505.79,20473785590.5,20473785590.5
2020-11-23,'002706,良信股份,27.23,27.45,26.34,26.76,26.48,0.75,2.8323,0.6311,4952186,133419163.29,21368385650.8,21368385650.8
2020-11-20,'002706,良信股份,26.48,26.95,25.3,25.49,25.45,1.03,4.0472,0.9073,7119920,187350747.74,20779832979.6,20779832979.6
2020-11-19,'002706,良信股份,25.45,25.79,24.77,25.69,25.55,-0.1,-0.3914,0.6767,5310553,134415668.34,19971553977.8,19971553977.8
2020-11-18,'002706,良信股份,25.55,26.65,25.4,25.79,25.69,-0.14,-0.545,0.7997,6275635,162152195.73,20050027667.2,20050027667.2
2020-11-17,'002706,良信股份,25.69,26.65,25.58,26.5,26.57,-0.88,-3.312,0.6707,5263118,136637137.31,20159890832.5,20159890832.5
2020-11-16,'002706,良信股份,26.57,26.98,26.24,26.9,26.6,-0.03,-0.1128,0.4198,3294693,87504221.22,20850459300.2,20850459300.2
