日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'002851,麦格米特,38.63,39.57,37.97,38.82,38.67,-0.04,-0.1034,0.9039,4309253,166481594.53,19388688038.4,18415838926.1
2021-01-21,'002851,麦格米特,38.67,38.67,37.61,38.0,37.91,0.76,2.0047,1.0236,4879846,186218295.56,19408764339.8,18434907876.5
2021-01-20,'002851,麦格米特,37.91,38.26,36.7,36.99,36.99,0.92,2.4872,0.7977,3802854,143434050.87,19027314613.9,18072597817.4
2021-01-19,'002851,麦格米特,36.99,37.72,36.54,36.82,37.09,-0.1,-0.2696,0.917,4371637,161839912.13,18565559682.7,17634011956.4
2021-01-18,'002851,麦格米特,37.09,37.22,34.36,34.94,34.29,2.8,8.1656,1.3647,6505727,235901111.25,18615750436.1,17681684332.6
2021-01-15,'002851,麦格米特,34.29,34.7,33.73,34.33,34.89,-0.6,-1.7197,1.0616,5060832,173314971.01,17210409340.9,16346857799.0
2021-01-14,'002851,麦格米特,34.89,35.71,34.6,34.98,34.92,-0.03,-0.0859,0.8506,4054964,141975162.76,17511553861.3,16632892056.2
2021-01-13,'002851,麦格米特,34.92,35.2,34.2,34.5,34.65,0.27,0.7792,1.3611,6488703,225048860.39,17526611087.3,16647193769.0
2021-01-12,'002851,麦格米特,34.65,35.38,34.16,34.5,34.56,0.09,0.2604,0.7453,3553182,123300440.46,17391096053.1,16518478353.3
2021-01-11,'002851,麦格米特,34.56,35.45,33.6,35.21,35.31,-0.75,-2.124,0.98,4671842,160865199.88,17345924375.0,16475573214.7
2021-01-08,'002851,麦格米特,35.31,35.44,34.01,34.73,34.9,0.41,1.1748,0.8603,4101143,143206719.38,17722355025.5,16833116036.2
2021-01-07,'002851,麦格米特,34.9,35.6,33.96,34.5,34.31,0.59,1.7196,0.7337,3497763,122275271.7,17516572936.6,16637659293.8
2021-01-06,'002851,麦格米特,34.31,35.79,34.07,35.79,35.52,-1.21,-3.4065,0.8823,4206105,145894552.69,17220447491.5,16356392274.2
2021-01-05,'002851,麦格米特,35.52,36.3,35.4,35.72,35.9,-0.38,-1.0585,0.8744,4168363,148807010.08,17827755607.7,16933228026.2
2021-01-04,'002851,麦格米特,35.9,36.44,34.12,34.18,34.06,1.84,5.4022,1.0255,4888699,174701070.73,18018480470.6,17114383055.8
2020-12-31,'002851,麦格米特,34.06,34.3,33.22,33.47,33.42,0.64,1.915,0.9415,4488507,151834688.12,17094970608.0,16237211333.7
2020-12-30,'002851,麦格米特,33.42,33.89,32.93,33.04,33.51,-0.09,-0.2686,0.8921,4253001,142369097.83,16773749786.3,15932108126.0
2020-12-29,'002851,麦格米特,33.51,34.47,32.62,34.25,34.24,-0.73,-2.132,0.911,4342941,144741246.11,16818921464.3,15975013264.6
2020-12-28,'002851,麦格米特,34.24,34.33,32.81,33.13,32.61,1.63,4.9985,1.2131,5783142,195231931.9,17185313964.2,16323021610.9
