日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'300274,阳光电源,98.8,100.0,92.89,93.0,93.4,5.4,5.7816,3.7674,54341898,5307641501.23,1.4394560778e+11,1.4251246438e+11
2021-01-21,'300274,阳光电源,93.4,94.01,90.2,94.0,92.2,1.2,1.3015,3.6909,53238575,4893237063.5,1.3607813529e+11,1.3472332159e+11
2021-01-20,'300274,阳光电源,92.2,92.55,84.41,84.98,83.9,8.3,9.8927,3.9151,56473345,5046978452.14,1.3432980807e+11,1.3299240097e+11
2021-01-19,'300274,阳光电源,83.9,88.6,82.38,86.65,86.1,-2.2,-2.5552,2.7492,39654695,3387312733.6,1.22262171715e+11,1.21020200015e+11
2021-01-18,'300274,阳光电源,86.1,87.63,79.51,82.4,84.13,1.97,2.3416,2.9317,42287132,3572266213.94,1.25468092785e+11,1.24193554485e+11
2021-01-15,'300274,阳光电源,84.13,86.66,79.93,85.44,88.8,-4.67,-5.259,4.071,58721515,4899378014.49,1.2259733619e+11,1.213519598e+11
2021-01-14,'300274,阳光电源,88.8,92.56,83.8,88.0,88.2,0.6,0.6803,3.7664,54327588,4800479768.28,1.2940263228e+11,1.2808812588e+11
2021-01-13,'300274,阳光电源,88.2,92.8,85.97,86.5,86.91,1.29,1.4843,3.4546,49830707,4451999038.07,1.2852829017e+11,1.2722266557e+11
2021-01-12,'300274,阳光电源,86.91,89.0,79.77,81.0,81.02,5.89,7.2698,3.6752,53012048,4509194442.88,1.26648454634e+11,1.25361925904e+11
2021-01-11,'300274,阳光电源,81.02,84.5,77.8,84.5,85.23,-4.21,-4.9396,3.6612,52810077,4282124808.66,1.18065329587e+11,1.16865990527e+11
2021-01-08,'300274,阳光电源,85.23,90.12,83.03,89.0,89.0,-3.77,-4.236,4.7156,68019513,5846915037.55,1.24200296726e+11,1.22938637036e+11
2021-01-07,'300274,阳光电源,89.0,90.39,82.16,82.3,80.16,8.84,11.0279,4.0686,58687011,5052361963.12,1.2969407965e+11,1.2837661265e+11
2021-01-06,'300274,阳光电源,80.16,81.48,75.47,77.02,76.82,3.34,4.3478,3.0966,44666524,3476696381.57,1.16812105896e+11,1.15625497416e+11
2021-01-05,'300274,阳光电源,76.82,80.59,75.64,76.4,78.19,-1.37,-1.7521,3.5451,51136323,3961995226.19,1.11944934817e+11,1.10807768357e+11
2021-01-04,'300274,阳光电源,78.19,81.77,69.0,72.68,72.28,5.91,8.1765,4.6659,67302514,5039469579.58,1.13941349302e+11,1.12783902732e+11
2020-12-31,'300274,阳光电源,72.28,72.75,69.87,69.98,67.97,4.31,6.341,3.3097,47740288,3409504533.31,1.05329079518e+11,1.04259118678e+11
2020-12-30,'300274,阳光电源,67.97,69.84,67.14,67.14,66.3,1.67,2.5189,3.2273,46551567,3189672335.65,99048388694.5,98042228784.5
2020-12-29,'300274,阳光电源,66.3,72.61,64.12,72.3,73.96,-7.66,-10.3569,5.1574,74391528,5022856830.37,96614803155.0,95633364255.0
2020-12-28,'300274,阳光电源,73.96,74.8,70.62,74.77,74.7,-0.74,-0.9906,4.214,60784066,4389143237.76,1.07777237426e+11,1.06682407546e+11
2020-12-25,'300274,阳光电源,74.7,76.58,69.5,71.0,70.4,4.3,6.108,3.4967,50438236,3661960126.27,1.08855592695e+11,1.07749808595e+11
2020-12-24,'300274,阳光电源,70.4,73.25,67.12,69.51,69.92,0.48,0.6865,3.026,43648239,3078078454.54,1.0258947424e+11,1.0154734304e+11
2020-12-23,'300274,阳光电源,69.92,73.37,65.24,65.24,62.9,7.02,11.1606,4.3497,62741522,4350545096.4,1.01890000552e+11,1.00854974792e+11
2020-12-22,'300274,阳光电源,62.9,67.29,62.35,65.0,65.9,-3.0,-4.5524,3.542,51091088,3321918999.55,91660197865.0,90729089165.0
2020-12-21,'300274,阳光电源,65.9,66.68,61.8,62.8,61.38,4.52,7.364,3.6699,52936371,3409164421.85,96031908415.0,95056390715.0
2020-12-18,'300274,阳光电源,61.38,63.65,60.12,61.31,62.0,-0.62,-1.0,2.8505,41116471,2548573367.18,89445197853.0,88536589713.0
2020-12-17,'300274,阳光电源,62.0,62.45,59.66,62.09,62.99,-0.99,-1.5717,2.9968,43226234,2625848584.47,90348684700.0,89430898700.0
2020-12-16,'300274,阳光电源,62.99,63.78,60.65,62.6,61.99,1.0,1.6132,2.8716,41421327,2578459418.71,91791349181.5,90858908211.5
2020-12-15,'300274,阳光电源,61.99,62.6,57.49,57.7,57.14,4.85,8.4879,4.0486,58398543,3496858276.77,90334112331.5,89416474361.5
2020-12-14,'300274,阳光电源,57.14,59.0,54.78,55.8,54.1,3.04,5.6192,3.3397,48172787,2736513260.95,83266513609.0,82420670189.0
2020-12-11,'300274,阳光电源,54.1,57.24,53.51,56.38,56.38,-2.28,-4.044,3.0679,44252596,2434229284.08,78836513585.0,78035671285.0
2020-12-10,'300274,阳光电源,56.38,57.24,50.5,51.8,50.87,5.51,10.8315,3.9431,56876792,3084921287.97,82159013603.0,81324420463.0
2020-12-09,'300274,阳光电源,50.87,54.8,50.58,52.84,51.88,-1.01,-1.9468,2.7231,39279477,2063358012.42,74129638559.5,73376609949.5
