日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'300316,晶盛机电,45.0,45.45,42.75,43.41,42.87,2.13,4.9685,3.2496,41737257,1841328012.74,57856021380.0,57796352730.0
2021-01-21,'300316,晶盛机电,42.87,45.79,42.25,43.0,42.4,0.47,1.1085,4.2878,55070336,2402927956.42,55117503034.7,55060658700.8
2021-01-20,'300316,晶盛机电,42.4,43.01,38.98,39.1,38.98,3.42,8.7737,3.3158,42587106,1763028299.17,54513229033.6,54457007905.6
2021-01-19,'300316,晶盛机电,38.98,40.37,37.95,38.31,38.5,0.48,1.2468,3.039,39031313,1530997785.28,50116171408.7,50064485098.1
2021-01-18,'300316,晶盛机电,38.5,39.82,35.46,36.67,36.2,2.3,6.3536,3.2151,41293885,1587218670.6,49499040514.0,49447990669.0
2021-01-15,'300316,晶盛机电,36.2,37.6,35.0,37.4,37.6,-1.4,-3.7234,2.5787,33120062,1203707876.35,46541954976.8,46493954862.8
2021-01-14,'300316,晶盛机电,37.6,39.45,35.48,36.93,36.96,0.64,1.7316,4.2376,54426412,2040634191.42,48341920086.4,48292063614.4
2021-01-13,'300316,晶盛机电,36.96,37.83,35.8,36.6,36.8,0.16,0.4348,3.3339,42819580,1573659388.66,47519078893.4,47470071042.2
2021-01-12,'300316,晶盛机电,36.8,36.88,33.1,33.1,34.1,2.7,7.9179,3.5969,46197470,1636395934.18,47313368595.2,47264572899.2
2021-01-11,'300316,晶盛机电,34.1,36.11,33.23,34.8,34.36,-0.26,-0.7567,3.674,47187776,1643101176.75,43842007312.4,43796791735.4
2021-01-08,'300316,晶盛机电,34.36,35.24,33.51,34.67,34.66,-0.3,-0.8656,2.7567,35405936,1209298562.35,44176286547.0,44130726217.8
2021-01-07,'300316,晶盛机电,34.66,35.45,32.3,32.31,32.1,2.56,7.9751,3.94,50604365,1718121047.32,44561993356.2,44516035236.0
2021-01-06,'300316,晶盛机电,32.1,32.89,31.4,32.8,32.82,-0.72,-2.1938,1.8467,23718304,760626846.58,41270628584.4,41228064947.4
2021-01-05,'300316,晶盛机电,32.82,33.1,31.36,32.06,32.3,0.52,1.6099,2.5409,32634825,1054404319.97,42196324926.5,42152806591.1
2021-01-04,'300316,晶盛机电,32.3,32.47,30.1,30.63,30.08,2.22,7.3803,2.4928,32016813,1014418252.85,41527766457.2,41484937626.2
2020-12-31,'300316,晶盛机电,30.08,31.18,29.49,30.8,30.38,-0.3,-0.9875,2.0722,26613998,804732998.9,38673536069.1,38633650891.5
2020-12-30,'300316,晶盛机电,30.38,30.6,29.56,30.48,30.0,0.38,1.2667,2.2663,29107266,877792986.67,39059242878.3,39018959909.7
2020-12-29,'300316,晶盛机电,30.0,32.77,29.81,32.46,32.99,-2.99,-9.0634,2.7198,34932223,1077668599.65,38570680920.0,38530901820.0
2020-12-28,'300316,晶盛机电,32.99,34.38,32.37,33.9,33.65,-0.66,-1.9614,1.9307,24796713,821334702.5,42414892118.4,42371148368.1
2020-12-25,'300316,晶盛机电,33.65,33.66,31.4,32.44,32.85,0.8,2.4353,2.0982,26949036,878051377.88,43263447098.6,43218828208.1
2020-12-24,'300316,晶盛机电,32.85,33.77,32.64,33.0,33.27,-0.42,-1.2624,1.4744,18937165,627093090.5,42234895607.4,42191337492.9
2020-12-23,'300316,晶盛机电,33.27,34.19,32.5,32.52,31.93,1.34,4.1967,2.5627,32913741,1100074406.03,42774885140.3,42730770118.4
2020-12-22,'300316,晶盛机电,31.93,33.38,31.89,32.88,32.9,-0.97,-2.9483,1.9969,25647318,838083088.56,41052061392.5,41009723170.4
2020-12-21,'300316,晶盛机电,32.9,33.57,32.43,32.7,32.15,0.75,2.3328,2.0572,26422253,871782155.91,42299180075.6,42255555662.6
2020-12-18,'300316,晶盛机电,32.15,32.75,31.59,32.09,31.78,0.37,1.1643,1.7809,22873086,736523450.49,41334913052.6,41292283117.1
2020-12-17,'300316,晶盛机电,31.78,32.25,30.98,32.08,31.98,-0.2,-0.6254,1.507,19355967,608780219.72,40859207987.9,40817068661.3
2020-12-16,'300316,晶盛机电,31.98,32.38,31.06,31.2,31.63,0.35,1.1065,2.4686,31706096,1012097916.99,41116345860.7,41073941340.1
