日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'300558,贝达药业,143.1,143.59,136.16,139.0,137.8,5.3,3.8462,1.2329,4968837,694263522.82,59123612850.3,57672776185.2
2021-01-21,'300558,贝达药业,137.8,139.65,131.0,134.25,134.03,3.77,2.8128,1.4183,5715962,769194184.06,56933849411.4,55536747437.6
2021-01-20,'300558,贝达药业,134.03,135.39,125.8,125.9,125.7,8.33,6.6269,1.3335,5374421,708443507.03,55376225229.4,54017345856.8
2021-01-19,'300558,贝达药业,125.7,131.7,124.85,126.7,126.83,-1.13,-0.891,1.4608,5887408,755579588.83,51934578164.1,50660153504.4
2021-01-18,'300558,贝达药业,126.83,127.01,118.46,121.0,121.05,5.78,4.7749,1.2534,5051680,619879784.79,52401452255.8,51115570954.4
2021-01-15,'300558,贝达药业,121.05,123.6,118.1,119.2,120.69,0.36,0.2983,1.4214,5728571,693576523.11,50013370618.7,48786090546.6
2021-01-14,'300558,贝达药业,120.69,122.75,116.02,118.84,119.71,0.98,0.8186,1.6546,6668470,795930082.13,49864631970.0,48641001801.5
2021-01-13,'300558,贝达药业,119.71,120.6,109.53,112.58,112.62,7.09,6.2955,2.5214,10161917,1167603015.21,49459732315.2,48246037995.3
2021-01-12,'300558,贝达药业,112.62,113.0,105.5,109.0,108.69,3.93,3.6158,1.8627,7506988,823667575.18,46530407262.1,45388595765.0
2021-01-11,'300558,贝达药业,108.69,109.66,105.53,107.0,106.39,2.3,2.1619,1.7729,7145293,773946408.23,44906677014.0,43804710297.5
2021-01-08,'300558,贝达药业,106.39,107.5,101.77,102.69,102.68,3.71,3.6132,1.7997,7253093,767767097.25,43956402314.1,42877754425.9
2021-01-07,'300558,贝达药业,102.68,103.24,100.1,102.2,102.25,0.43,0.4205,1.454,5859902,595009595.18,42423567906.8,41382534302.6
2021-01-06,'300558,贝达药业,102.25,104.6,101.18,102.79,102.65,-0.4,-0.3897,1.0849,4372509,448039669.34,42245907854.2,41209233857.0
2021-01-05,'300558,贝达药业,102.65,103.77,101.01,101.61,103.06,-0.41,-0.3978,1.0739,4328224,442641583.01,42411173019.4,41370443573.8
2021-01-04,'300558,贝达药业,103.06,108.76,101.58,107.21,107.37,-4.31,-4.0142,2.5108,10119100,1058431935.3,42580569813.8,41535683533.5
