日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'600176,中国巨石,23.9,24.55,23.6,24.26,23.8,0.1,0.4202,1.0679,37399478,897759421.0,83705133691.1,83705133691.1
2021-01-21,'600176,中国巨石,23.8,24.55,23.76,23.8,23.37,0.43,1.84,1.1746,41139488,994230042.0,83354903006.2,83354903006.2
2021-01-20,'600176,中国巨石,23.37,23.88,22.22,22.22,22.5,0.87,3.8667,1.804,63182442,1478810022.0,81848911061.1,81848911061.1
2021-01-19,'600176,中国巨石,22.5,24.18,21.63,24.09,24.0,-1.5,-6.25,2.134,74737567,1714337294.0,78801904102.5,78801904102.5
2021-01-18,'600176,中国巨石,24.0,24.25,21.92,21.94,22.17,1.83,8.2544,1.4175,49644702,1170407201.0,84055364376.0,84055364376.0
2021-01-15,'600176,中国巨石,22.17,22.41,21.43,21.82,21.9,0.27,1.2329,1.0249,35895978,789422121.0,77646142842.3,77646142842.3
2021-01-14,'600176,中国巨石,21.9,22.65,21.77,22.59,22.72,-0.82,-3.6092,1.1285,39523347,876864026.0,76700519993.1,76700519993.1
2021-01-13,'600176,中国巨石,22.72,23.53,22.22,22.84,22.85,-0.13,-0.5689,1.6269,56978979,1304764218.0,79572411609.3,79572411609.3
2021-01-12,'600176,中国巨石,22.85,23.05,21.5,21.59,21.72,1.13,5.2026,1.5856,55532958,1245240568.0,80027711499.6,80027711499.6
2021-01-11,'600176,中国巨石,21.72,22.94,21.15,21.75,21.7,0.02,0.0922,1.8521,64867158,1431677972.0,76070104760.3,76070104760.3
2021-01-08,'600176,中国巨石,21.7,22.78,21.12,22.56,22.1,-0.4,-1.81,1.8542,64941066,1420260013.0,76000058623.3,76000058623.3
2021-01-07,'600176,中国巨石,22.1,22.1,20.12,20.12,20.09,2.01,10.005,2.0603,72157607,1555705727.0,77400981362.9,77400981362.9
2021-01-06,'600176,中国巨石,20.09,20.54,19.48,20.1,19.97,0.12,0.6009,1.2846,44990532,900587962.0,70361344596.4,70361344596.4
2021-01-05,'600176,中国巨石,19.97,20.3,19.07,20.28,20.39,-0.42,-2.0598,1.7495,61273110,1213098305.0,69941067774.5,69941067774.5
2021-01-04,'600176,中国巨石,20.39,20.46,19.49,20.13,19.96,0.43,2.1543,1.7796,62325525,1245555016.0,71412036651.1,71412036651.1
2020-12-31,'600176,中国巨石,19.96,20.52,19.52,20.14,19.99,-0.03,-0.1501,1.001,35057573,700645968.0,69906044706.0,69906044706.0
2020-12-30,'600176,中国巨石,19.99,20.33,19.68,19.68,19.8,0.19,0.9596,1.1029,38625368,771589718.0,70011113911.5,70011113911.5
2020-12-29,'600176,中国巨石,19.8,20.02,19.07,19.75,19.81,-0.01,-0.0505,1.1914,41726737,819037816.0,69345675610.2,69345675610.2
2020-12-28,'600176,中国巨石,19.81,19.95,19.27,19.55,18.88,0.93,4.9258,2.0309,71129099,1394243538.0,69380698678.7,69380698678.7
2020-12-25,'600176,中国巨石,18.88,18.88,17.07,17.16,17.16,1.72,10.0233,1.295,45354298,827313809.0,66123553309.1,66123553309.1
2020-12-24,'600176,中国巨石,17.16,17.35,16.96,17.26,17.2,-0.04,-0.2326,0.6668,23354685,399985415.0,60099585528.8,60099585528.8
2020-12-23,'600176,中国巨石,17.2,17.67,17.0,17.46,17.57,-0.37,-2.1059,1.133,39682346,684461966.0,60239677802.8,60239677802.8
2020-12-22,'600176,中国巨石,17.57,18.11,17.18,17.49,17.65,-0.08,-0.4533,1.2721,44552708,786760672.0,61535531336.9,61535531336.9
2020-12-21,'600176,中国巨石,17.65,17.8,17.25,17.33,17.37,0.28,1.612,0.9707,33998012,597749792.0,61815715884.8,61815715884.8
2020-12-18,'600176,中国巨石,17.37,17.8,16.86,16.89,16.68,0.69,4.1367,1.3298,46574243,810551082.0,60835069967.1,60835069967.1
