日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'601012,隆基股份,119.7,121.91,114.05,114.05,114.02,5.68,4.9816,2.3554,88839728,10499090030.0,4.5148073745e+11,4.51470489933e+11
2021-01-21,'601012,隆基股份,114.02,115.66,107.5,109.76,108.31,5.71,5.2719,2.5295,95405837,10625267305.0,4.30057090092e+11,4.3004732884e+11
2021-01-20,'601012,隆基股份,108.31,108.38,101.8,103.3,102.5,5.81,5.6683,1.9618,73991177,7813323733.0,4.08520289667e+11,4.08511017248e+11
2021-01-19,'601012,隆基股份,102.5,106.87,101.08,105.5,103.17,-0.67,-0.6494,1.6325,61573611,6385967870.0,3.86606312352e+11,3.86597537328e+11
2021-01-18,'601012,隆基股份,103.17,104.3,99.37,100.0,102.35,0.82,0.8012,1.889,71245294,7286087238.0,3.89133397516e+11,3.89124565132e+11
2021-01-15,'601012,隆基股份,102.35,103.35,98.51,99.9,100.99,1.36,1.3467,2.0946,79002625,7994646885.0,3.86040547017e+11,3.86031784834e+11
2021-01-14,'601012,隆基股份,100.99,106.12,99.99,106.0,108.18,-7.19,-6.6463,3.2081,120997501,12378368035.0,3.80910941312e+11,3.80902295558e+11
2021-01-13,'601012,隆基股份,108.18,114.37,106.65,110.12,109.95,-1.77,-1.6098,2.3331,87997639,9710763814.0,4.0802995971e+11,4.0802069842e+11
2021-01-12,'601012,隆基股份,109.95,110.62,104.88,105.66,106.15,3.8,3.5798,2.2644,85405608,9233938404.0,4.14705990665e+11,4.14696577845e+11
2021-01-11,'601012,隆基股份,106.15,110.8,104.77,110.8,110.4,-4.25,-3.8496,2.6123,98528650,10531442591.0,4.00373268841e+11,4.0036418134e+11
2021-01-08,'601012,隆基股份,110.4,117.0,106.94,116.0,113.55,-3.15,-2.7741,3.3571,126620017,14076783500.0,4.1640328667e+11,4.16393835326e+11
2021-01-07,'601012,隆基股份,113.55,114.78,107.5,109.58,107.0,6.55,6.1215,2.6221,98898721,10989799382.0,4.28284358709e+11,4.28274637693e+11
2021-01-06,'601012,隆基股份,107.0,108.3,103.55,104.91,104.87,2.13,2.0311,2.2866,86244761,9133467682.0,4.03579272407e+11,4.03570112137e+11
2021-01-05,'601012,隆基股份,104.87,106.88,97.9,99.01,100.1,4.77,4.7652,2.6301,99197922,10227506681.0,3.95545404648e+11,3.95536426727e+11
2021-01-04,'601012,隆基股份,100.1,101.42,92.2,92.2,92.2,7.9,8.5683,3.002,113225943,11107838801.0,3.7755406699e+11,3.77545497429e+11
2020-12-31,'601012,隆基股份,92.2,93.73,89.13,91.8,90.74,1.46,1.609,2.2589,85197903,7816656715.0,3.47757092672e+11,3.4774919943e+11
2020-12-30,'601012,隆基股份,90.74,92.32,88.54,90.0,88.4,2.34,2.6471,2.0106,75832989,6900215129.0,3.42250310077e+11,3.42242541825e+11
2020-12-29,'601012,隆基股份,88.4,92.4,87.6,92.39,92.15,-3.75,-4.0695,2.3096,87111987,7765578092.0,3.33424370848e+11,3.33416802924e+11
2020-12-28,'601012,隆基股份,92.15,94.7,90.8,93.47,93.45,-1.3,-1.3911,1.6798,63356777,5841807809.0,3.47568504227e+11,3.47560615266e+11
2020-12-25,'601012,隆基股份,93.45,93.93,90.2,91.5,90.6,2.85,3.1457,2.0643,77859333,7164351204.0,3.52471803798e+11,3.52463803544e+11
2020-12-24,'601012,隆基股份,90.6,92.37,89.47,90.98,92.2,-1.6,-1.7354,1.5767,59467376,5390501948.0,3.41722262431e+11,3.41714506165e+11
2020-12-23,'601012,隆基股份,92.2,93.54,89.09,89.88,87.9,4.3,4.8919,2.4724,93249498,8516037881.0,3.47757092672e+11,3.4774919943e+11
2020-12-22,'601012,隆基股份,87.9,90.94,86.0,86.5,85.42,2.48,2.9033,3.3006,124489504,11025683393.0,3.31538486398e+11,3.31530961279e+11
2020-12-21,'601012,隆基股份,85.42,85.42,82.01,84.0,77.65,7.77,10.0064,2.78,104851998,8877337592.0,3.22184499523e+11,3.22177186717e+11
2020-12-18,'601012,隆基股份,77.65,77.8,74.44,74.75,74.81,2.84,3.7963,1.3072,49301851,3794209833.0,2.92877855163e+11,2.92871207546e+11
2020-12-17,'601012,隆基股份,74.81,75.47,73.0,75.27,76.0,-1.19,-1.5658,1.2106,45660247,3392596236.0,2.82166031484e+11,2.82159627e+11
2020-12-16,'601012,隆基股份,76.0,78.0,75.46,78.0,76.31,-0.31,-0.4062,1.1505,43394743,3316647407.0,2.86654436476e+11,2.86647930116e+11
