ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2021-01-22,'603027,วงบฬฮถาต,46.5,47.54,45.71,46.24,46.55,-0.05,-0.1074,1.4666,9710641,452212890.0,30953902287.0,30789442017.0
2021-01-21,'603027,วงบฬฮถาต,46.55,46.78,43.35,43.35,43.23,3.32,7.6799,2.172,14381778,655637800.0,30987186052.9,30822548943.9
2021-01-20,'603027,วงบฬฮถาต,43.23,43.79,42.5,43.11,43.28,-0.05,-0.1155,0.9353,6193304,266668877.0,28777143997.1,28624248997.7
2021-01-19,'603027,วงบฬฮถาต,43.28,45.25,43.08,44.26,44.5,-1.22,-2.7416,1.3618,9017024,397208467.0,28810427763.0,28657355924.6
2021-01-18,'603027,วงบฬฮถาต,44.5,45.5,42.76,43.04,43.77,0.73,1.6678,2.002,13256286,586332599.0,29622551651.0,29465164941.0
2021-01-15,'603027,วงบฬฮถาต,43.77,44.09,40.0,42.98,43.19,0.58,1.3429,3.9238,25980717,1088236699.0,29136608668.9,28981803808.3
2021-01-14,'603027,วงบฬฮถาต,43.19,43.42,38.98,39.3,39.47,3.72,9.4249,3.9182,25944095,1096800064.0,28750516984.4,28597763456.2
2021-01-13,'603027,วงบฬฮถาต,39.47,40.7,38.8,40.3,39.97,-0.5,-1.2509,1.4555,9637665,381428433.0,26274204801.5,26134608094.9
2021-01-12,'603027,วงบฬฮถาต,39.97,40.22,38.48,38.6,38.8,1.17,3.0155,1.517,10044618,398050358.0,26607042460.5,26465677363.9
2021-01-11,'603027,วงบฬฮถาต,38.8,39.75,38.17,39.34,39.52,-0.72,-1.8219,1.4655,9669258,376455899.0,25828202338.4,25599148788.8
2021-01-08,'603027,วงบฬฮถาต,39.52,42.2,39.38,41.16,41.1,-1.58,-3.8443,2.021,13333921,539146945.0,26307488567.4,26074184539.5
2021-01-07,'603027,วงบฬฮถาต,41.1,41.45,40.23,40.36,40.34,0.76,1.884,2.1019,13867784,567258226.0,27359255569.8,27116624103.6
2021-01-06,'603027,วงบฬฮถาต,40.34,40.65,39.69,40.19,40.78,-0.44,-1.079,1.7479,11532271,463327793.0,26853342328.1,26615197477.8
2021-01-05,'603027,วงบฬฮถาต,40.78,40.95,38.5,38.58,38.43,2.35,6.115,2.6969,17793113,713714021.0,27146239468.0,26905497103.3
2021-01-04,'603027,วงบฬฮถาต,38.43,38.91,37.03,37.4,37.38,1.05,2.809,2.0812,13730878,525733004.0,25581902470.7,25355033194.7
2020-12-31,'603027,วงบฬฮถาต,37.38,38.41,36.8,37.88,38.22,-0.84,-2.1978,1.9281,12720970,477886046.0,24882943386.8,24662272724.9
2020-12-30,'603027,วงบฬฮถาต,38.22,38.59,37.52,37.61,37.73,0.49,1.2987,0.8912,5879850,224077971.0,25442110654.0,25216481100.7
2020-12-29,'603027,วงบฬฮถาต,37.73,38.29,37.48,37.5,37.72,0.01,0.0265,0.7599,5013930,189636640.0,25115929748.1,24893192881.5
2020-12-28,'603027,วงบฬฮถาต,37.72,39.0,37.5,38.38,38.43,-0.71,-1.8475,1.2576,8297030,317774990.0,25109272995.0,24886595162.7
2020-12-25,'603027,วงบฬฮถาต,38.43,38.49,37.51,37.69,37.74,0.69,1.8283,0.7845,5175990,197483902.0,25581902470.7,25355033194.7
2020-12-24,'603027,วงบฬฮถาต,37.74,38.52,37.67,38.15,38.26,-0.52,-1.3591,0.9058,5976294,227231027.0,25122586501.3,24899790600.2
2020-12-23,'603027,วงบฬฮถาต,38.26,38.87,37.81,38.01,37.87,0.39,1.0298,1.2473,8229101,315600089.0,25468737666.7,25242871975.8
2020-12-22,'603027,วงบฬฮถาต,37.87,39.15,37.85,38.66,38.91,-1.04,-2.6728,1.3429,8860053,341324033.0,25209124292.7,24985560944.1
2020-12-21,'603027,วงบฬฮถาต,38.91,39.47,38.61,38.9,39.3,-0.39,-0.9924,1.1505,7590490,296378911.0,25901426623.4,25671723695.2
2020-12-18,'603027,วงบฬฮถาต,39.3,40.17,38.61,40.17,40.98,-1.68,-4.0996,2.1083,13910161,545065423.0,26161039997.4,25929034726.8
2020-12-17,'603027,วงบฬฮถาต,40.98,41.48,39.82,40.65,40.97,0.01,0.0244,1.8145,11971554,486586615.0,27279374531.6,27037451478.5
2020-12-16,'603027,วงบฬฮถาต,40.97,41.29,40.51,40.74,40.9,0.07,0.1711,1.3702,9040470,369679637.0,27272717778.5,27030853759.7
2020-12-15,'603027,วงบฬฮถาต,40.9,41.0,39.01,39.6,39.67,1.23,3.1006,1.9445,12829077,515832526.0,27226120506.2,26984669728.4
2020-12-14,'603027,วงบฬฮถาต,39.67,39.9,38.4,38.45,38.45,1.22,3.173,2.0296,13390841,528039909.0,26407339865.1,26173150320.9
2020-12-11,'603027,วงบฬฮถาต,38.45,39.5,38.38,38.8,38.81,-0.36,-0.9276,1.5722,10372706,403869510.0,25595215977.1,25368228632.2
2020-12-10,'603027,วงบฬฮถาต,38.81,39.11,37.55,37.82,37.84,0.97,2.5634,1.811,11948290,460686553.0,25834859091.6,25605746507.6
2020-12-09,'603027,วงบฬฮถาต,37.84,38.58,37.8,38.13,37.95,-0.11,-0.2899,1.0384,6850753,261503019.0,25189154033.1,24965767787.8
2020-12-08,'603027,วงบฬฮถาต,37.95,38.36,37.41,37.88,38.1,-0.15,-0.3937,0.942,6214973,235644254.0,25262378318.1,25038342694.2
2020-12-07,'603027,วงบฬฮถาต,38.1,38.7,37.8,37.97,38.07,0.03,0.0788,1.3345,8804863,336245600.0,25362229615.8,25137308475.6
2020-12-04,'603027,วงบฬฮถาต,38.07,38.57,36.23,36.32,36.5,1.57,4.3014,2.1556,14222276,537863648.0,25342259356.3,25117515319.3
2020-12-03,'603027,วงบฬฮถาต,36.5,36.6,35.51,35.51,35.96,0.54,1.5017,0.7164,4726615,171201186.0,24297149107.0,24081673474.0
2020-12-02,'603027,วงบฬฮถาต,35.96,36.67,35.92,36.28,36.35,-0.39,-1.0729,0.6865,4529020,163649632.0,23937684435.3,23725396661.0
2020-12-01,'603027,วงบฬฮถาต,36.35,36.65,35.54,35.54,35.45,0.9,2.5388,0.6671,4401137,159742789.0,24197297809.3,23982707692.6
2020-11-30,'603027,วงบฬฮถาต,35.45,36.09,35.44,36.08,36.09,-0.64,-1.7733,0.7641,5041433,180270389.0,23598190023.1,23388913004.2
2020-11-27,'603027,วงบฬฮถาต,36.09,36.12,35.52,35.92,35.94,0.15,0.4174,0.4167,2748960,98726247.0,24024222226.6,23811167004.8
2020-11-26,'603027,วงบฬฮถาต,35.94,36.23,35.43,35.78,35.97,-0.03,-0.0834,0.5235,3453941,123827487.0,23924370928.9,23712201223.4
2020-11-25,'603027,วงบฬฮถาต,35.97,36.88,35.8,36.88,36.77,-0.8,-2.1757,0.7238,4775632,172864954.0,23944341188.5,23731994379.7
2020-11-24,'603027,วงบฬฮถาต,36.77,37.1,36.4,37.01,37.0,-0.23,-0.6216,0.663,4374514,160161411.0,24476881442.9,24259811880.5
2020-11-23,'603027,วงบฬฮถาต,37.0,37.19,36.2,37.0,36.91,0.09,0.2438,0.751,4954861,182792368.0,24629986766.0,24411559412.0
2020-11-20,'603027,วงบฬฮถาต,36.91,37.17,36.4,36.41,36.36,0.55,1.5127,0.7493,4943657,181948087.0,24570075987.4,24352179943.2
2020-11-19,'603027,วงบฬฮถาต,36.36,36.56,35.7,36.0,36.18,0.18,0.4975,0.5757,3798056,137615014.0,24203954562.5,23989305411.4
2020-11-18,'603027,วงบฬฮถาต,36.18,36.6,35.95,36.28,36.27,-0.09,-0.2481,0.554,3654964,132192207.0,24084133005.2,23870546473.7
2020-11-17,'603027,วงบฬฮถาต,36.27,37.3,36.01,37.19,37.37,-1.1,-2.9435,1.2245,8078795,294212501.0,24144043783.9,23929925942.5
2020-11-16,'603027,วงบฬฮถาต,37.37,38.0,37.03,37.27,36.75,0.62,1.6871,1.0064,6639714,248672469.0,24876286633.7,24655675006.1
2020-11-13,'603027,วงบฬฮถาต,36.75,36.87,35.77,36.5,36.71,0.04,0.109,0.692,4565337,165923047.0,24463567936.5,24246616443.0
2020-11-12,'603027,วงบฬฮถาต,36.71,37.75,36.5,36.98,37.1,-0.39,-1.0512,0.9312,6143952,226482533.0,24436940923.8,24220225568.0
2020-11-11,'603027,วงบฬฮถาต,37.1,38.28,36.65,36.9,37.0,0.1,0.2703,0.9898,6530559,244653662.0,24696554297.8,24477536599.6
2020-11-10,'603027,วงบฬฮถาต,37.0,37.7,35.51,37.7,38.66,-1.66,-4.2938,1.9063,12577128,462425138.0,24629986766.0,24411559412.0
2020-11-09,'603027,วงบฬฮถาต,38.66,39.28,37.99,38.62,38.94,-0.28,-0.7191,1.7496,11543562,443646267.0,25735007793.9,25506780726.2
2020-11-06,'603027,วงบฬฮถาต,38.94,39.5,38.48,39.35,39.31,-0.37,-0.9412,0.9775,6448957,250196177.0,25921396882.9,25691516851.4
2020-11-05,'603027,วงบฬฮถาต,39.31,39.45,38.23,38.26,38.25,1.06,2.7712,1.1749,7751720,301816599.0,26167696750.6,25935632445.6
2020-11-04,'603027,วงบฬฮถาต,38.25,38.63,37.91,38.19,37.98,0.27,0.7109,0.7895,5209183,198968329.0,25462080913.5,25236274257.0
2020-11-03,'603027,วงบฬฮถาต,37.98,37.99,36.9,37.84,37.7,0.28,0.7427,1.3293,8770371,328830775.0,25282348577.6,25058135850.5
2020-11-02,'603027,วงบฬฮถาต,37.7,38.66,37.18,38.07,38.17,-0.47,-1.2313,1.4719,9711452,368648444.0,25095959488.6,24873399725.2
2020-10-30,'603027,วงบฬฮถาต,38.17,40.49,38.17,40.0,42.41,-4.24,-9.9976,3.7083,24466385,952179404.0,25408826888.1,25183492506.9
2020-10-29,'603027,วงบฬฮถาต,42.41,42.73,40.3,40.65,40.93,1.48,3.6159,1.153,7607406,319293300.0,28231290236.4,27980925261.2
2020-10-28,'603027,วงบฬฮถาต,40.93,41.19,39.5,39.96,39.81,1.12,2.8134,0.8603,5676103,229405019.0,27246090765.7,27004462884.7
2020-10-27,'603027,วงบฬฮถาต,39.81,40.19,38.25,38.46,38.45,1.36,3.5371,0.8883,5860908,231162417.0,26500534409.6,26265518383.6
2020-10-26,'603027,วงบฬฮถาต,38.45,38.98,37.31,38.8,39.31,-0.86,-2.1877,1.0282,6783451,260059699.0,25595215977.1,25368228632.2
2020-10-23,'603027,วงบฬฮถาต,39.31,42.5,38.87,41.91,42.02,-2.71,-6.4493,1.5022,9911269,399617029.0,26167696750.6,25935632445.6
2020-10-22,'603027,วงบฬฮถาต,42.02,42.58,41.0,42.37,42.15,-0.13,-0.3084,0.9124,6019902,251374952.0,27971676862.4,27723614229.5
2020-10-21,'603027,วงบฬฮถาต,42.15,42.25,41.16,41.5,41.47,0.68,1.6397,0.9143,6032599,252153413.0,28058214653.7,27809384573.4
2020-10-20,'603027,วงบฬฮถาต,41.47,41.7,39.54,39.94,39.94,1.53,3.8307,1.2371,8162150,335114267.0,27605555437.5,27360739697.7
2020-10-19,'603027,วงบฬฮถาต,39.94,40.8,39.69,40.03,40.04,-0.1,-0.2498,0.7321,4829893,194426998.0,26587072200.9,26351288727.4
