日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-01-22,'603063,禾望电气,20.0,20.0,19.26,19.4,19.23,0.77,4.0042,4.6684,19970354,392927871.0,8676830000.0,8555570000.0
2021-01-21,'603063,禾望电气,19.23,19.43,18.01,18.3,18.17,1.06,5.8338,4.4643,19097138,361286390.0,8342772045.0,8226180555.0
2021-01-20,'603063,禾望电气,18.17,18.45,17.51,17.68,17.85,0.32,1.7927,3.0879,13209245,238867822.0,7882900055.0,7772735345.0
2021-01-19,'603063,禾望电气,17.85,18.83,17.63,18.1,18.22,-0.37,-2.0307,4.5489,19459288,354843578.0,7744070775.0,7635846225.0
2021-01-18,'603063,禾望电气,18.22,18.57,17.78,18.2,18.6,-0.38,-2.043,3.1357,13413900,244610864.0,7904592130.0,7794124270.0
2021-01-15,'603063,禾望电气,18.6,19.48,17.99,19.09,19.27,-0.67,-3.4769,5.6371,24114336,449096809.0,8069451900.0,7956680100.0
2021-01-14,'603063,禾望电气,19.27,20.77,18.8,20.11,20.42,-1.15,-5.6317,4.9605,21219839,415777873.0,8360125705.0,8243291695.0
2021-01-13,'603063,禾望电气,20.42,21.98,19.9,21.23,21.45,-1.03,-4.8019,5.0801,21731370,456004967.0,8859043430.0,8735236970.0
2021-01-12,'603063,禾望电气,21.45,21.72,20.25,20.57,21.05,0.4,1.9002,5.8863,25180330,527419406.0,9305900175.0,9175848825.0
2021-01-11,'603063,禾望电气,21.05,23.01,21.05,22.8,23.39,-2.34,-10.0043,5.9044,25257667,551136284.0,9132363575.0,9004737425.0
2021-01-08,'603063,禾望电气,23.39,23.66,21.6,22.98,22.32,1.07,4.7939,8.4796,36274017,833294034.0,10147552685.0,10005739115.0
2021-01-07,'603063,禾望电气,22.32,22.32,20.31,20.31,20.29,2.03,10.0049,5.9382,25402135,554696334.0,9683342280.0,9548016120.0
2021-01-06,'603063,禾望电气,20.29,20.47,19.02,19.73,20.1,0.19,0.9453,4.1152,17603901,347400087.0,8802644035.0,8679625765.0
2021-01-05,'603063,禾望电气,20.1,20.54,19.68,20.05,20.54,-0.44,-2.1422,4.1433,17724176,356193737.0,8720214150.0,8598347850.0
2021-01-04,'603063,禾望电气,20.54,20.65,18.9,19.39,19.33,1.21,6.2597,5.1749,22065955,435898668.0,8882842766.72,8758308746.72
2020-12-31,'603063,禾望电气,19.33,19.47,18.56,18.76,18.58,0.75,4.0366,3.6526,15574987,296397861.0,8359559429.44,8242361639.44
2020-12-30,'603063,禾望电气,18.58,19.06,18.46,18.46,18.45,0.13,0.7046,3.3707,14372625,268879794.0,8040505553.44,7922559713.44
2020-12-29,'603063,禾望电气,18.45,19.55,18.1,19.37,19.31,-0.86,-4.4537,4.5754,19509447,366967228.0,7984247979.6,7867127379.6
2020-12-28,'603063,禾望电气,19.31,19.98,19.0,19.3,19.46,-0.15,-0.7708,4.2829,18262189,353209160.0,8356413468.08,8233833588.08
2020-12-25,'603063,禾望电气,19.46,19.62,18.66,19.14,19.3,0.16,0.829,5.6841,24237216,465122527.0,8421326053.28,8297793973.28
2020-12-24,'603063,禾望电气,19.3,20.2,19.06,19.61,20.02,-0.72,-3.5964,5.8874,25103892,489146650.0,8352085962.4,8229569562.4
2020-12-23,'603063,禾望电气,20.02,21.88,19.51,20.13,20.34,-0.32,-1.5733,8.889,37902827,783472804.0,8663666371.36,8536579411.36
2020-12-22,'603063,禾望电气,20.34,21.69,19.58,20.0,19.72,0.62,3.144,8.957,38192868,781620239.0,8802146553.12,8673028233.12
2020-12-21,'603063,禾望电气,19.72,19.72,17.92,18.28,17.93,1.79,9.9833,7.4246,31658604,603001583.0,8533841200.96,8408658640.96
2020-12-18,'603063,禾望电气,17.93,18.48,16.5,17.13,17.35,0.58,3.3429,6.245,26629027,467811974.0,7759217684.24,7645398044.24
2020-12-17,'603063,禾望电气,17.35,17.52,15.52,16.89,17.06,0.29,1.6999,7.0342,29993986,490368437.0,7508222354.8,7398084554.8
2020-12-16,'603063,禾望电气,17.06,17.92,16.3,16.42,16.29,0.77,4.7268,7.2926,31095987,539061162.0,7382724690.08,7274427810.08
2020-12-15,'603063,禾望电气,16.29,16.66,15.98,16.46,16.64,-0.35,-2.1034,3.4712,14801301,240075004.0,7049506752.72,6946097832.72
2020-12-14,'603063,禾望电气,16.64,16.65,16.02,16.02,16.02,0.62,3.8702,3.4067,14526213,238841795.0,7200969451.52,7095338731.52
2020-12-11,'603063,禾望电气,16.02,16.86,15.67,16.49,16.25,-0.23,-1.4154,2.9773,12695492,207337847.0,6932664099.36,6830969139.36
2020-12-10,'603063,禾望电气,16.25,16.65,15.6,15.91,15.77,0.48,3.0438,3.201,13649300,220783718.0,7032196730.0,6929041730.0
2020-12-09,'603063,禾望电气,15.77,16.62,15.65,16.3,16.31,-0.54,-3.3109,3.5004,14925800,240524124.0,6824476457.36,6724368497.36
2020-12-08,'603063,禾望电气,16.31,16.61,15.88,16.03,16.23,0.08,0.4929,2.752,11734713,191895097.0,7058161764.08,6954625884.08
2020-12-07,'603063,禾望电气,16.23,16.61,15.87,16.25,16.13,0.1,0.62,2.761,11773151,191727617.0,7023541718.64,6920513678.64
2020-12-04,'603063,禾望电气,16.13,16.4,15.6,15.97,15.67,0.46,2.9355,2.877,12267725,196937809.0,6980266661.84,6877873421.84
2020-12-03,'603063,禾望电气,15.67,16.03,15.29,15.93,15.95,-0.28,-1.7555,3.0753,13113235,205734274.0,6781201400.56,6681728240.56
2020-12-02,'603063,禾望电气,15.95,16.88,15.68,16.77,16.52,-0.57,-3.4504,3.7732,16088956,259590763.0,6902371559.6,6801120959.6
2020-12-01,'603063,禾望电气,16.52,16.95,16.18,16.38,16.09,0.43,2.6725,3.5023,14934096,248307345.0,7149039383.36,7044170423.36
2020-11-30,'603063,禾望电气,16.09,16.35,15.71,16.24,15.9,0.19,1.195,3.2314,13778606,222155130.0,6962956639.12,6860817319.12
2020-11-27,'603063,禾望电气,15.9,16.81,15.67,16.63,16.82,-0.92,-5.4697,4.8668,20752215,332039787.0,6880734031.2,6779800831.2
2020-11-26,'603063,禾望电气,16.82,17.18,16.3,16.5,16.8,0.02,0.119,5.3388,22764707,381135270.0,7278864553.76,7172091193.76
